object_id,shape,admin3_pcode,shape_length,shape_area,location
154,Polygon,TH341919,0.340305,0.004227,"Thailand, Ubon Ratchathani, Phibun Mangsahan, Ban Khaem"
155,Polygon,TH210501,0.201079,0.001145,"Thailand, Rayong, Ban Khai, Ban Khai"
156,Polygon,TH360105,0.487647,0.002587,"Thailand, Chaiyaphum, Mueang Chaiyaphum, Ban Khai"
157,Polygon,TH360603,0.394268,0.004192,"Thailand, Chaiyaphum, Chatturat, Ban Kham"
158,Polygon,TH390106,0.344931,0.005251,"Thailand, Nong Bua Lam Phu, Mueang Nong Bua Lam Phu, Ban Kham"
159,Polygon,TH400707,0.358745,0.004653,"Thailand, Khon Kaen, Nam Phong, Ban Kham"
160,Polygon,TH410103,0.36739,0.003897,"Thailand, Udon Thani, Mueang Udon Thani, Ban Khao"
161,Polygon,TH900711,0.433484,0.008536,"Thailand, Songkhla, Ranot, Ban Khao"
162,Polygon,TH140507,0.134788,0.000703,"Thailand, Phra Nakhon Si Ayutthaya, Bang Ban, Ban Khlang"
163,Polygon,TH140717,0.154348,0.001048,"Thailand, Phra Nakhon Si Ayutthaya, Bang Pahan, Ban Khlo"
164,Polygon,TH650114,0.160808,0.000691,"Thailand, Phitsanulok, Mueang Phitsanulok, Ban Khlong"
165,Polygon,TH110502,0.29815,0.00318,"Thailand, Samut Prakan, Phra Samut Chedi, Ban Khlong Suan"
166,Polygon,TH521302,0.722057,0.02101,"Thailand, Lampang, Mueang Pan, Ban Kho"
167,Polygon,TH390305,0.497091,0.006594,"Thailand, Nong Bua Lam Phu, Non Sang, Ban Kho"
168,Polygon,TH400110,0.608056,0.010343,"Thailand, Khon Kaen, Mueang Khon Kaen, Ban Kho"
169,Polygon,TH411712,0.38879,0.00266,"Thailand, Udon Thani, Ban Phue, Ban Kho"
170,Polygon,TH481005,0.672689,0.013499,"Thailand, Nakhon Phanom, Phon Sawan, Ban Kho"
171,Polygon,TH490506,0.5469,0.008924,"Thailand, Mukdahan, Khamcha-I, Ban Kho"
172,Polygon,TH160118,0.182023,0.00121,"Thailand, Lop Buri, Mueang Lop Buri, Ban Khoi"
173,Polygon,TH390502,0.62688,0.008208,"Thailand, Nong Bua Lam Phu, Suwannakhuha, Ban Khok"
174,Polygon,TH402201,0.403621,0.005917,"Thailand, Khon Kaen, Khok Pho Chai, Ban Khok"
175,Polygon,TH402302,0.278652,0.003464,"Thailand, Khon Kaen, Nong Na Kham, Ban Khok"
176,Polygon,TH412004,0.452422,0.006713,"Thailand, Udon Thani, Sang Khom, Ban Khok"
177,Polygon,TH490103,0.514613,0.008557,"Thailand, Mukdahan, Mueang Mukdahan, Ban Khok"
178,Polygon,TH530602,0.529388,0.010441,"Thailand, Uttaradit, Ban Khok, Ban Khok"
